INVESTOR,COMPANIES_AS_ARRAY
Benchmark,"[
  ""MODERN TREASURY"",
  ""AIRBYTE"",
  ""COCKROACH LABS"",
  ""WILDLIFE STUDIOS"",
  ""DISCORD"",
  ""BENCHLING"",
  ""CEREBRAS SYSTEMS"",
  ""SORARE""
]"
IA Ventures,"[
  ""VECTRA NETWORKS"",
  ""SIGNIFYD"",
  ""DATAROBOT"",
  ""KOMODO HEALTH""
]"
Kleiner Perkins Caufield & Byers,"[
  ""HANDSHAKE"",
  ""PRODUCTBOARD"",
  ""FULLSTORY"",
  ""MODERN HEALTH"",
  ""QUMULO"",
  ""MOVEWORKS"",
  ""RIPPLING"",
  ""GUSTO"",
  ""TOSS"",
  ""INMOBI"",
  ""NETLIFY""
]"
Malabar Investments,"[
  ""GAMES24X7""
]"
Social Capital,"[
  ""GROQ"",
  ""NETSKOPE""
]"
M12,"[
  ""PSIQUANTUM"",
  ""INNOVACCER"",
  ""OUTREACH"",
  ""AQUA SECURITY"",
  ""GO1""
]"
T. Rowe Price,"[
  ""CLIO"",
  ""CHECKR"",
  ""ABL SPACE SYSTEMS"",
  ""RAD POWER BIKES"",
  ""COLOR"",
  ""TRUMID""
]"
Portag3 Ventures,"[
  ""ALAN""
]"
Partners Investment,"[
  ""YANOLJA""
]"
Alpha Wave Global,"[
  ""DEALSHARE""
]"
Banyan Capital,"[
  ""YITU TECHNOLOGY"",
  ""BEIBEI""
]"
Cambridge Innovation Capital,"[
  ""CMR SURGICAL""
]"
SBI Investment,"[
  ""KRAKEN""
]"
Causeway Media Partners,"[
  ""ZWIFT""
]"
3L,"[
  ""INCODE TECHNOLOGIES""
]"
Bertelsmann India Investments,"[
  ""ERUDITUS EXECUTIVE EDUCATION""
]"
Legend Star,"[
  ""KNOWBOX""
]"
Newsion Venture Capital,"[
  ""JUANPI""
]"
One Equity Partners,"[
  ""INFOBIP""
]"
Legend Capital,"[
  ""GALAXYSPACE""
]"
A&E Television Networks,"[
  ""VICE MEDIA""
]"
